Epoca,Erro medio quadratico,Tempo
1,0.3650176862823866,187.58
2,0.02924567736260364,
3,0.0031740138238550153,
4,0.001133429462983837,
5,0.0009180403585575814,
6,0.0009696909360543682,
7,0.0011123865235552755,
8,0.0013268383593081357,
9,0.0016202437842744999,
10,0.002007488964741011,
11,0.0025058940620158454,
12,0.0031290220135085645,
13,0.003875543656538749,
14,0.004713538091738245,
15,0.005568763190624604,
16,0.006332561692735383,
17,0.006895836470593497,
18,0.007190264366111199,
19,0.007208129568790134,
20,0.006992559409724541,
21,0.006612212133088213,
22,0.006137345028480068,
23,0.005625506162097449,
24,0.005116911870512497,
25,0.004635912626311245,
26,0.004194882257135352,
27,0.003798243534475526,
28,0.0034456732362915243,
29,0.003134322280902241,
30,0.002860216159970841,
31,0.002619072918663201,
32,0.002406743848059112,
33,0.00221942516204901,
34,0.002053738112982928,
35,0.0019067378521232803,
36,0.00177588672115217,
37,0.001659012266870985,
38,0.0015542610190024675,
39,0.001460053680629847,
40,0.00137504433146024,
41,0.0012980845768687244,
42,0.0012281927065921905,
43,0.0011645275086079598,
44,0.0011063662132368979,
45,0.0010530860030921185,
46,0.0010041485502895742,
47,0.0009590870967942089,
48,0.0009174956574401483,
49,0.0008790199880165661,
50,0.0008433500182780107,
51,0.0008102135000405131,
52,0.0007793706634866837,
53,0.000750609710847866,
54,0.0007237430066095174,
55,0.0006986038481351375,
56,0.0006750437209356308,
57,0.0006529299595330884,
58,0.000632143748536429,
59,0.000612578409783876,
60,0.0005941379306066141,
61,0.0005767356958449599,
62,0.0005602933924503117,
63,0.0005447400606597153,
64,0.0005300112699448412,
65,0.0005160484014531119,
66,0.0005027980215590866,
67,0.0004902113335593372,
68,0.00047824369656060406,
69,0.000466854202279432,
70,0.00045600530188275035,
71,0.0004456624761749184,
72,0.0004357939434152802,
73,0.00042637039989906755,
74,0.00041736478911208463,
75,0.0004087520958870605,
76,0.00040050916246653356,
77,0.0003926145238231926,
78,0.0003850482599339067,
79,0.0003777918630202548,
80,0.00037082811803018645,
